t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
1.059999999999999970e-01,6.642533812749806810e-01,2.289983533852177899e+00,-1.689389084223663406e+00,-6.085091111463937219e-01,-7.434042898622096329e-01,1.552130430816984097e+00,3.522396231116826093e-01,5.659960385659056070e-02,-2.387909580426948786e+00,2.196833118100989246e+00,-1.734861681824043433e+00,-3.143438282981744214e-01,8.748746388968647869e-01,-1.649805500491998700e+01,-8.489181544521283485e+00,-2.814822378672963143e+00,-4.607163533712026887e-02,1.039649143292027504e-02
1.079999999999999988e-01,6.649509039209328121e-01,2.290084142183771210e+00,-1.694128365926421020e+00,-6.041369088362887885e-01,-7.468369281193723008e-01,1.551507197033861862e+00,3.557418534746499272e-01,6.321185144160926250e-02,-2.406050765432745209e+00,2.207116316302054404e+00,-1.753599082565606038e+00,-3.170715445923162346e-01,8.538389417508056578e-01,-1.629421305927014529e+01,-8.364404886864353017e+00,-2.769433356308810268e+00,-4.910507962540153204e-02,1.039724664445368374e-02
1.100000000000000006e-01,6.656556573642489205e-01,2.290197575848549771e+00,-1.698905867640996492e+00,-5.997418963109154566e-01,-7.503080488028326389e-01,1.550878277197229371e+00,3.591276468282106338e-01,7.002944460007731742e-02,-2.423195146670253486e+00,2.216245200445299268e+00,-1.771818119062292141e+00,-3.196806198327150628e-01,8.327783993541608698e-01,-1.608776984639042951e+01,-8.239133963187045495e+00,-2.723827954320180211e+00,-5.190828166970115620e-02,1.038963513193701810e-02
1.120000000000000023e-01,6.663674087309047200e-01,2.290324245537679992e+00,-1.703719595759772387e+00,-5.953263821983884041e-01,-7.538166151840824947e-01,1.550243908589126196e+00,3.623970031747192344e-01,7.705238332178319938e-02,-2.439342724178831023e+00,2.224219770530434293e+00,-1.789518791322869840e+00,-3.221710539867103651e-01,8.116967471827080116e-01,-1.587870597472092982e+01,-8.113368246642684412e+00,-2.678014046220884570e+00,-5.447378195535923506e-02,1.037341294177272603e-02
1.140000000000000041e-01,6.670859251468801432e-01,2.290464561942318067e+00,-1.708567556675181009e+00,-5.908926751268234190e-01,-7.573615905346257060e-01,1.549604328491634098e+00,3.655499225165518284e-01,8.428066759614542824e-02,-2.454493497997944029e+00,2.231040026556120104e+00,-1.806701099356077256e+00,-3.245428470208246985e-01,7.905978298080884592e-01,-1.566700438257009864e+01,-7.987107656292388391e+00,-2.631999763426923877e+00,-5.679425675121090727e-02,1.034834156467738867e-02
1.160000000000000059e-01,6.678109737381633382e-01,2.290618935753579777e+00,-1.713447756779805653e+00,-5.864430837243370664e-01,-7.609419381259989734e-01,1.548959774186960292e+00,3.685864048561549589e-01,9.171429741136971625e-02,-2.468647468167397108e+00,2.236705968517560095e+00,-1.823365043170545263e+00,-3.267959988989031506e-01,7.694858493042447956e-01,-1.545265564312152584e+01,-7.860353572417294821e+00,-2.585794082488313883e+00,-5.886282728257794666e-02,1.031420033214331018e-02
1.180000000000000077e-01,6.685423216307444516e-01,2.290787777662572022e+00,-1.718358202466261364e+00,-5.819799166190461337e-01,-7.645566212297466580e-01,1.548310482957338863e+00,3.715064501959893239e-01,9.935327275541311343e-02,-2.481804634727064141e+00,2.241217596409250223e+00,-1.839510622774883197e+00,-3.289305095842419147e-01,7.483650809271743531e-01,-1.523565189448594381e+01,-7.733107674765493655e+00,-2.539406153116404052e+00,-6.067270603663593026e-02,1.027077223418164029e-02
1.199999999999999956e-01,6.692797359506172938e-01,2.290971498360385272e+00,-1.723296900127219589e+00,-5.775054824390749575e-01,-7.682046031174247780e-01,1.547656692085053631e+00,3.743100585385417678e-01,1.071975936157684994e-01,-2.493964997716590304e+00,2.244574910224296893e+00,-1.855137838177631560e+00,-3.309463790391058979e-01,7.272398497377873250e-01,-1.501598788580742116e+01,-7.605372111983185412e+00,-2.492845363571501771e+00,-6.221730222369093594e-02,1.021784763605283405e-02
1.219999999999999973e-01,6.700229838237847790e-01,2.291170508538064254e+00,-1.728261856155503429e+00,-5.730220898125691908e-01,-7.718848470606224366e-01,1.546998638852530528e+00,3.769972298863710214e-01,1.152472599786388829e-01,-2.505128557174979953e+00,2.246777909951933161e+00,-1.870246689387140115e+00,-3.328436072228933562e-01,7.061146192338194627e-01,-1.479366562381075667e+01,-7.477150336057258428e+00,-2.446121765180251373e+00,-6.349057186208253989e-02,1.015523740312608732e-02
1.239999999999999991e-01,6.707718323762521528e-01,2.291385218886646147e+00,-1.733251076943964630e+00,-5.685320473676781505e-01,-7.755963163309348429e-01,1.546336560542220129e+00,3.795679642420486943e-01,1.235022718300026745e-01,-2.515295313141126421e+00,2.247826595580722842e+00,-1.884837176411727100e+00,-3.346221940945038886e-01,6.849938766408560920e-01,-1.456868837626359259e+01,-7.348446025304051332e+00,-2.399245524265439133e+00,-6.448656617826448167e-02,1.008275596836276551e-02
