t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
3.539999999999999813e-01,7.435611740628508270e-01,2.618991810483348726e+00,-2.065971765343630473e+00,-6.566564777729388958e-01,-1.324304526467707133e+00,1.433521750306974596e+00,3.101447684312603759e-01,2.544213841696973510e+00,4.632639034977965864e-02,-1.443741626077076567e+00,-7.773024404790018771e-01,8.638132060930848732e-01,-6.683992926019335368e-01,1.135164592217004831e+01,6.597281212590789146e+00,1.599122839547010733e+00,-3.360393032136436697e-01,-3.940678338383135290e-03
3.559999999999999831e-01,7.441895762601431485e-01,2.623978001184276820e+00,-2.066059274164158133e+00,-6.594449013391410208e-01,-1.325969148387018848e+00,1.435050715908189556e+00,3.074460566444449650e-01,2.578096672828531943e+00,1.061969013845215498e-01,-1.476033178878132013e+00,-7.411399198685840739e-01,9.300565555791605599e-01,-7.478244583993386430e-01,1.156540584971796903e+01,6.754853754595909088e+00,1.623033861313550208e+00,-3.792915379874339799e-01,-2.671089626905599236e-03
3.579999999999999849e-01,7.448127455474836678e-01,2.629030417602017611e+00,-2.066030368114966098e+00,-6.622981457452939980e-01,-1.327562120034857074e+00,1.436707596671292331e+00,3.046927827892123575e-01,2.612516147303964420e+00,1.672115277991166604e-01,-1.508200556433951567e+00,-7.047552378644137416e-01,9.978231734239557671e-01,-8.263698278514939322e-01,1.159739634370695072e+01,6.831211278990803493e+00,1.624776037853695954e+00,-4.222448983754455432e-01,-9.696441614123333438e-04
3.599999999999999867e-01,7.454305782358171539e-01,2.634149947182592655e+00,-2.065883127619914550e+00,-6.652162416806378653e-01,-1.329083010514980012e+00,1.438495257640126868e+00,3.018870254170859524e-01,2.647405680808844863e+00,2.292322057828485304e-01,-1.540345835261589080e+00,-6.681537860858566269e-01,1.067045572016251942e+00,-9.055397552552635343e-01,1.152830418617459607e+01,6.863561856787038451e+00,1.614171171383793180e+00,-4.658434699992812233e-01,9.979178792126734438e-04
3.619999999999999885e-01,7.460429628834120974e-01,2.639337700800044928e+00,-2.065615134526519459e+00,-6.681988648286147914e-01,-1.330531367474931947e+00,1.440416805857966942e+00,2.990351836818753717e-01,2.682560337619962709e+00,2.918339352820241706e-01,-1.572783220902635337e+00,-6.313521583492105460e-01,1.137515905336315303e+00,-9.898632050603231036e-01,1.160676926571889389e+01,6.966382054742247476e+00,1.621474746942929146e+00,-5.129198958836777011e-01,2.717538389619121066e-03
3.639999999999999902e-01,7.466497876162133673e-01,2.644594801787740757e+00,-2.065223942879493624e+00,-6.712456710759867606e-01,-1.331906737365763149e+00,1.442475361863033712e+00,2.961438976731162742e-01,2.717767466932971221e+00,3.545757154200154249e-01,-1.605838748143134653e+00,-5.943675731543873741e-01,1.209018500364173798e+00,-1.084037807239393025e+00,1.209079727252345826e+01,7.258457269708357806e+00,1.678081721312634222e+00,-5.664121332942512188e-01,3.655735529732105638e-03
3.659999999999999920e-01,7.472509411010460623e-01,2.649922357881414392e+00,-2.064707141516824329e+00,-6.743563410866777463e-01,-1.333208668136367514e+00,1.444674029323207431e+00,2.932195060556564425e-01,2.752824067381749451e+00,4.170365606827640126e-01,-1.639823655287123039e+00,-5.572164676536299766e-01,1.281347479078430052e+00,-1.192586147774818528e+00,1.322219921536148846e+01,7.851191513623237306e+00,1.813424616575636916e+00,-6.291154896219899317e-01,3.317545301322004977e-03
3.679999999999999938e-01,7.478463348664323718e-01,2.655320817541996004e+00,-2.064063789904921453e+00,-6.775316027959266130e-01,-1.334436771045820036e+00,1.447015198837389605e+00,2.902556069943995065e-01,2.787934996252584341e+00,4.796414870143054232e-01,-1.674423768767583365e+00,-5.198822533037487092e-01,1.354710974597739259e+00,-1.312632122239468346e+00,1.455827569062963178e+01,8.543995329495855273e+00,1.973988538258743652e+00,-6.977958035679510118e-01,2.836060667403790710e-03
3.699999999999999956e-01,7.484359112464999964e-01,2.660789740872905540e+00,-2.063294929147898582e+00,-6.807735953127919126e-01,-1.335590742662199348e+00,1.449500300160560418e+00,2.872286311259177327e-01,2.823854690911119736e+00,5.439554777118921214e-01,-1.708482187019225274e+00,-4.823038402025440208e-01,1.429874990454584660e+00,-1.431330062392011770e+00,1.473396538200970340e+01,8.715875293422993053e+00,1.994488870923309287e+00,-7.610943445455017331e-01,5.538143605504033777e-03
3.719999999999999973e-01,7.490196147494698753e-01,2.666328625282127884e+00,-2.062401740203075207e+00,-6.840845573392987378e-01,-1.336670285574230066e+00,1.452130695236568458e+00,2.841137974960894486e-01,2.861376375093237279e+00,6.116239687628940436e-01,-1.740782533322223324e+00,-4.444169977841508912e-01,1.507644901638365287e+00,-1.535130702448713524e+00,1.231911169047202925e+01,7.716168158081879724e+00,1.701752900668973112e+00,-8.070789940956347719e-01,1.490548036791045777e-02
